filename,date,cloud_coverage
LC08_L2SP_147038_20190809_02_T1.tif,2019-08-09 05:24:20.266153+00:00,98.68
LC08_L2SP_147038_20190724_02_T1.tif,2019-07-24 05:24:13.839880+00:00,25.4
LC08_L2SP_147038_20190708_02_T1.tif,2019-07-08 05:24:09.784840+00:00,57.75
LC08_L2SP_147038_20190622_02_T1.tif,2019-06-22 05:24:05.937549+00:00,13.13
LC08_L2SP_147038_20190606_02_T1.tif,2019-06-06 05:24:00.086962+00:00,70.12
LC08_L2SP_147038_20190521_02_T1.tif,2019-05-21 05:23:52.014051+00:00,5.9
LC08_L2SP_147038_20190505_02_T1.tif,2019-05-05 05:23:41.552781+00:00,5.14
LC08_L2SP_147038_20190419_02_T1.tif,2019-04-19 05:23:40.200835+00:00,2.81
LC08_L2SP_147038_20190403_02_T1.tif,2019-04-03 05:23:46.121470+00:00,1.63
LC08_L2SP_147038_20190318_02_T1.tif,2019-03-18 05:23:49.454026+00:00,1.3
LC08_L2SP_147038_20190302_02_T2.tif,2019-03-02 05:23:54.758299+00:00,100.0
LC08_L2SP_147038_20190214_02_T1.tif,2019-02-14 05:23:58.792367+00:00,84.54
LC08_L2SP_147038_20190129_02_T1.tif,2019-01-29 05:24:00.773737+00:00,2.57
LC08_L2SP_147038_20190113_02_T1.tif,2019-01-13 05:24:04.748027+00:00,40.72
LC08_L2SP_147038_20201217_02_T1.tif,2020-12-17 05:24:34.637989+00:00,1.26
LC08_L2SP_147038_20201201_02_T1.tif,2020-12-01 05:24:35.093129+00:00,34.89
LC08_L2SP_147038_20201115_02_T1.tif,2020-11-15 05:24:31.205231+00:00,98.56
LC08_L2SP_147038_20201030_02_T1.tif,2020-10-30 05:24:33.463753+00:00,2.3
LC08_L2SP_147038_20201014_02_T1.tif,2020-10-14 05:24:34.261297+00:00,1.15
LC08_L2SP_147038_20200928_02_T1.tif,2020-09-28 05:24:32.340148+00:00,2.41
LC08_L2SP_147038_20200912_02_T1.tif,2020-09-12 05:24:27.807353+00:00,11.38
